Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
A MAHOGANY OPEN BOOKCASE,96,leaf,"FIRST HALF 19TH CENTURY, ADAPTED",0,"GBP 2,000 – GBP 3,000","GBP 4,000",0,17 Aug 2016,"2016 | LIVE AUCTION 12039
INTERIORS"
Moise Kisling ,1891,1953,Nu,1931,"USD 40,000 – USD 60,000","USD 81,250",(73 x 54 cm.),17 Nov 2016,"2016 | LIVE AUCTION 12147
IMPRESSIONIST & MODERN ART DAY SALE"
George Edward Lodge ,1860,1954,Golden eagle on a branch,0,"GBP 1,200 - GBP 1,800","GBP 2,125",(34.6 x 24.7 cm.),18 Dec 2017,"4 Dec - 18 Dec 2017 | Online Auction 15547
The Astor Collection from Tillypronie, Aberdeenshire"
Helen Frankenthaler ,1928,2011,Cinnamon Burn,1968,"USD 300,000 – USD 500,000","USD 663,750",(304.8 x 208.2 cm.),16 May 2013,"2013 | LIVE AUCTION 2786
POST-WAR & CONTEMPORARY MORNING SESSION"
"Sir John Alfred Arnesby Brown, R.A. ",1866,1955,"The Round Tower, Haddiscoe",0,"GBP 12,000 – GBP 18,000","GBP 21,250",(66 x 91.4 cm.),13 Dec 2012,"2012 | LIVE AUCTION 5969
VICTORIAN & BRITISH IMPRESSIONIST ART"
Raymond Pettibon ,1957,0,Untitled (But come up),1987,"GBP 3,000 - GBP 5,000","GBP 7,500",(35.3 x 27.7cm.),20 Sep 2018,"12 Sep - 20 Sep 2018 | Online Auction 16454
First Open Online"
Keltie Ferris ,1977,0,Ghost Trees,2018,"USD 30,000 – USD 50,000","USD 50,000",(182.9 x 152.4 cm.),27 Sep 2018,"2018 | LIVE AUCTION 15877
POST-WAR TO PRESENT"
A BÖTTGER RED STONEWARE JEWELLED AND ENAMELLED COFFEE-POT AND COVER,15,section,1710-1711,0,"GBP 30,000 - GBP 50,000","GBP 225,000",0,16 Nov 2021,"2 Nov - 16 Nov 2021 | Online Auction 19968
The Collector"
JAN DERK HUIBERS ,0,0,Cup of warmth,0,"GBP 2,000 - GBP 3,000","GBP 6,000",(77.5 x 61.5 cm.),16 Dec 2021,"2 Dec - 16 Dec 2021 | Online Auction 20112
British and European Art"
Robert Rauschenberg ,1925,2008,Calendar,1962,"USD 3,000,000 – USD 5,000,000","USD 2,741,000",(243.8 x 152.4 cm.),13 May 2015,"2015 | LIVE AUCTION 3740
POST-WAR AND CONTEMPORARY ART EVENING SALE"
Rembrandt Harmensz. van Rijn ,1606,1669,"Christ and the Woman of Samaria: an Arched print (Bartsch, Hollstein 70; Hind 294; New Hollstein 302)",70,"GBP 1,000 – GBP 1,500","GBP 1,375",0,4 Dec 2013,"2013 | LIVE AUCTION 9728
500 YEARS OF PRINTMAKING"
WILLIAM EGGLESTON ,0,0,"Untitled, 1970s",0,"USD 12,000 – USD 18,000","USD 11,875",(18.4 x 28 cm.),5 Oct 2018,"2018 | LIVE AUCTION 16382
PHOTOGRAPHS"
"George Howard, 9th Earl of Carlisle ",1843,1911,Study of a standing draped female figure,0,"GBP 1,000 – GBP 1,500","GBP 1,875",(31.1 x 15 cm.),13 Dec 2017,"2017 | LIVE AUCTION 14233
VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
Karel Appel ,1921,2006,Tétes dans Tempête (Heads in the Tempest),1960,"EUR 120,000 – EUR 160,000","EUR 137,500",0,24 Apr 2018,"2018 | LIVE AUCTION 15805
POST-WAR AND CONTEMPORARY ART"
Floris van Schooten ,0,0,"Cherries, gooseberries, redcurrants, blackcurrants and strawberries on a stone ledge",0,"EUR 10,000 – EUR 15,000","EUR 15,000",0,18 Nov 2015,"2015 | LIVE AUCTION 3058
OLD MASTERS & 19TH CENTURYART - (INCLUDING DUTCH IMPRESSIONISM)"
Alberto Giacometti ,1901,1966,Femme assise et verre à pied,0,"EUR 20,000 – EUR 30,000","EUR 39,900",0,31 Mar 2016,"2016 | LIVE AUCTION 12610
OEUVRES MODERNES SUR PAPIER"
Lucebert ,1924,1994,Untitled,0,"EUR 4,000 - EUR 6,000","EUR 6,930",0,26 Apr 2022,"12 Apr - 26 Apr 2022 | Online Auction 20823
20th/21st Century: Amsterdam"
Adam Colonia ,Rotterdam,1685,The Annunciation to the Shepherds,0,"EUR 4,000 – EUR 6,000","EUR 5,000",0,14 May 2014,"2014 | LIVE AUCTION 3047
OLD MASTERS, 19TH CENTURY AND IMPRESSIONIST ART"
"English School, 20th Century",87,quarter,"Portrait of a lady, three-quarter-length, in a white smock, her hands in her pockets",0,"GBP 1,000 – GBP 1,500","GBP 15,000",(87.5 x 58.5 cm.),18 Dec 2012,"2012 | LIVE AUCTION 4079
PETER LANGAN: A LIFE WITH ART"
Cornelius Jonson van Ceulen  and Studio,London,1661,"Portrait of a gentleman, possibly Philip Herbert, 1st Earl of Montgomery and 4th Earl of Pembroke (1584-1650), bust-length, with a lace collar and wearing the badge and star of the Order of the Garter, in a feigned oval",0,"GBP 3,000 – GBP 5,000","GBP 3,250",(74.9 x 62.2 cm.),29 Oct 2015,"2015 | LIVE AUCTION 10451
OLD MASTER & BRITISH PAINTINGS"
Follower of Adriaen Isenbrandt,0,0,The Virgin and Child,0,"GBP 8,000 – GBP 12,000","GBP 21,250",(99 x 70.5 cm.),23 Mar 2017,"2017 | LIVE AUCTION 14193
ROBERT DE BALKANY ROME & THE CÔTE D'AZUR"
Odilon Redon ,1840,1916,Visage-Germination,1888,"USD 100,000 – USD 150,000","USD 233,000",(52.5 x 37.2 cm.),5 Nov 2013,"2013 | LIVE AUCTION 3443
A DIALOGUE THROUGH ART: WORKS FROM THE JAN KRUGIER COLLECTION DAY SALE"
Jack Whitten ,1939,2018,Virgin Space Loop #19,2012,"USD 60,000 – USD 80,000","USD 87,500",(30.5 x 30.5 cm.),16 May 2019,"2019 | LIVE AUCTION 16979
POST-WAR AND CONTEMPORARY ART AFTERNOON SESSION"
ILSE BING ,0,0,"Two street fair views, Paris, 1933",0,"USD 4,000 - USD 6,000","USD 2,500",(28.2 x 19.6 cm.),7 Dec 2017,"29 Nov - 7 Dec 2017 | Online Auction 15575
MoMA: Women in Photography"
Nicolas Party ,1980,0,Still Life No 103,2012,"GBP 2,000 – GBP 3,000","GBP 8,500",(16.5 x 22.2cm.),28 Jun 2018,"2018 | LIVE AUCTION 15893
POST-WAR TO PRESENT"
Samuel Holburn Fyfe ,1822,1905,The clipper John R. Worcester outward-bound from the Clyde off Pladda Island,0,"GBP 2,500 – GBP 3,500","GBP 3,125",(71 x 111.8 cm.),5 Jun 2014,"2014 | LIVE AUCTION 5317
MARITIME ART"
A PAIR OF ITALIAN SILVERED AND GILT-METAL BUSTS OF TROJAN WARRIORS,0,0,20TH CENTURY,0,"GBP 800 - GBP 1,200","GBP 1,000",0,16 Nov 2021,"2 Nov - 16 Nov 2021 | Online Auction 19968
The Collector"
"JOHN FERNELEY, SEN. ",BRITISH,1860,"Master John Marriott on a grey horse, with his sister Annis and their dogs outside the Elms, Cropwell Butler",0,"GBP 20,000 - GBP 30,000","GBP 27,500",(78.8 x 95.9 cm.),29 Jul 2020,"7 Jul - 29 Jul 2020 | Online Auction 18829
British & European Art"
Pedro Friedeberg ,1936,0,Pair of Hand Chairs,0,"USD 15,000 - USD 20,000","USD 18,750",(86.4 x 48.3 x 50.8 cm.),30 May 2018,"18 May - 30 May 2018 | Online Auction 15729
Latin American Art Online"
No Name,0,0,No Name,0,0,0,0,0,0
Gunther Gerzso ,1915,2000,Trópico calizo,1992,"USD 70,000 – USD 90,000","USD 137,500",(81.3 x 100.3 cm.),30 Jul 2020,"2020 | LIVE AUCTION 18183
LATIN AMERICAN ART"
BRASSAÏ ,1899,1950,"Graffiti (Serie IV, Masques et Visages), 1935-1950",0,"USD 10,000 - USD 15,000","USD 18,750",(40 x 30.4 cm.),14 Oct 2020,"5 Oct - 14 Oct 2020 | Online Auction 19790
The Unseen Eye: Photographs from the W.M. Hunt Collection"
ANDY WARHOL ,1928,1987,Marilyn Monroe (Marilyn): one print,0,"USD 100,000 – USD 150,000","USD 187,500",(914 x 914 mm.),22 Oct 2021,"2021 | LIVE AUCTION 19997
PRINTS & MULTIPLES"
ARMAN ,1928,2005,Sans titre,0,"EUR 1,200 – EUR 1,800",EUR 750,(13 5/8 x 21¼ in.),26 Oct 2013,"2013 | LIVE AUCTION 3536
DAGNY ET JAN RUNNQVIST, GALERIE BONNIER, UN DEMI-SIÈCLE DE PASSION ET D'ENGAGEMENTS ARTISTIQUES"
ANDY WARHOL ,1928,1987,Marilyn Monroe (Marilyn): one print,0,"USD 80,000 – USD 120,000","USD 100,000",(914 x 914 mm.),23 Oct 2019,"2019 | LIVE AUCTION 17127
PRINTS & MULTIPLES"
Pablo Picasso ,1881,1973,Verve,0,"USD 30,000 – USD 50,000","USD 68,750",(35.6 x 26.5 cm.),16 May 2018,"2018 | LIVE AUCTION 15972
IMPRESSIONIST AND MODERN ART WORKS ON PAPER"
"ENGLISH SCHOOL, CIRCA 1600",110,quarter,"Portrait of a getleman, traditionally identified as a member of the Pepys family, three-quarter-length, in an embroidered doublet",0,"GBP 3,000 - GBP 5,000","GBP 12,500",(110.5 x 87.6 cm.),17 Dec 2020,"26 Nov - 17 Dec 2020 | Online Auction 18877
Old Master Paintings & Sculpture Online"
Walter Leblanc ,1932,1986,Twisted Strings TX. 171,1971,"EUR 70,000 – EUR 90,000","EUR 83,750",0,1 May 2019,"2019 | LIVE AUCTION 17372
POST-WAR & CONTEMPORARY ART"
"Italian School, circa 1600",0,0,"Portrait of a lady, possibly of the Della Rovere family",0,"USD 8,000 – USD 12,000","USD 16,250",(100.9 x 76.2 cm.),31 Jan 2013,"2013 | LIVE AUCTION 2676
OLD MASTER PAINTINGS PART II"
Bernard Buffet ,1928,1999,Compotier sur un plateau,1991,"GBP 60,000 – GBP 80,000","GBP 73,250",(73 x 92 cm.),21 Jun 2012,"2012 | LIVE AUCTION 5472
IMPRESSIONIST/MODERN DAY SALE"
Jean Paul Riopelle ,1923,2002,P.M.12,1960,"EUR 50,000 – EUR 70,000","EUR 567,000",0,13 Apr 2022,"APRIL 13 | LIVE AUCTION 21429
COLLECTION JACQUELINE MATISSE MONNIER"
Gavin Turk ,1967,0,Cave,1997,"GBP 40,000 – GBP 60,000","GBP 50,000",(on the reverse),30 Jun 2016,"2016 | LIVE AUCTION 11798
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
KATHERINE BERNHARDT ,0,0,Female Obsession Night Naked,2005,"GBP 6,000 - GBP 8,000","GBP 23,750",(80 x 120cm.),7 Jul 2021,"24 Jun - 7 Jul 2021 | Online Auction 19114
First Open: Post-War and Contemporary Art Online"
MASTER MZ ,0,0,The Martyrdom of Saint Catherine,0,"USD 7,000 – USD 10,000","USD 6,250",0,29 Jan 2019,"2019 | LIVE AUCTION 16544
OLD MASTER PRINTS"
"Georges Bertin Scott, called Scott De Plagnolles ",French,1942,La belle Parisienne,0,"GBP 8,000 – GBP 12,000","GBP 8,750",(209 x 90.5 cm.),20 Jan 2016,"2016 | LIVE AUCTION 11799
19TH CENTURY EUROPEAN ART"
A PAIR OF NORTH ITALIAN WALNUT COMMODINI,0,0,INCORPORATING SOME 18TH CENTURY ELEMENTS,0,"GBP 1,000 – GBP 1,500","GBP 2,250",0,19 Mar 2020,"2020 | LIVE AUCTION 18844
CHIEVELEY HOUSE, BERKSHIRE AND FIVE PRIVATE COLLECTIONS"
Paul Cezanne ,1839,1906,Autoportrait,0,"GBP 1,200 – GBP 1,800","GBP 1,375",(and similar),4 Dec 2014,"2014 | LIVE AUCTION 5882
PRINTS & MULTIPLES"
Tom Wesselmann ,1931,2004,Monica with Wesselmann,1992,"GBP 120,000 – GBP 180,000","GBP 187,500",(162.5 x 122.5cm.),7 Oct 2017,"2017 | LIVE AUCTION 14443
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
D'APRES PIET MONDRIAN ,1872,1944,Mondrian,0,"EUR 5,000 - EUR 7,000","EUR 6,250",0,9 Jun 2020,"20 May - 9 Jun 2020 | Online Auction 18973
Collection Greta Stroeh : Hommage à Arp"
No Name,0,0,No Name,0,0,0,0,0,0
Amédée Marcel-Clément ,1873,0,Moonlit vessels off the coast,0,"GBP 2,000 – GBP 2,500","GBP 5,000",(50.3 x 61 cm.),2 May 2014,"2014 | LIVE AUCTION 5613
19TH CENTURY EUROPEAN ART"
A NORTH ITALIAN POLYCHROME-PAINTED AND PARCEL-GILT SIDE TABLE,93,PAINTED,"LATE 18TH/EARLY 19TH CENTURY, THE TOP LATER",0,"USD 3,000 – USD 5,000","USD 3,250",0,13 Feb 2018,"2018 | LIVE AUCTION 14522
JF CHEN COLLECTION"
Andy Warhol ,1928,1987,Knives,1981,"USD 1,600,000 – USD 2,000,000","USD 3,015,000",(228.6 x 177.8 cm.),14 Nov 2019,"2019 | LIVE AUCTION 17650
POST-WAR AND CONTEMPORARY ART MORNING SESSION"
A PAIR OF LOUIS XV GILT-WALNUT TABOURETS,53,WALNUT,CIRCA 1745,0,"USD 20,000 – USD 30,000","USD 72,500",0,14 Oct 2020,"2020 | LIVE AUCTION 19022
THE PRIVATE COLLECTION OF JAYNE WRIGHTSMAN"
WILLIAM EGGLESTON ,0,0,"Untitled (Stop Sign), 1980s",0,"USD 10,000 – USD 15,000","USD 8,750",(18.5 x 28 cm.),2 Apr 2019,"2019 | LIVE AUCTION 17021
PHOTOGRAPHS"
Francis Bacon ,1909,1992,Two Men Working in a Field,1971,"GBP 7,000,000 – GBP 10,000,000","GBP 10,722,500",(198 x 147cm.),30 Jun 2015,"2015 | LIVE AUCTION 10381
POST-WAR AND CONTEMPORARY ART EVENING AUCTION"
"Lynn Chadwick, R.A. ",1914,2003,Sitting Figures on Stripes,0,"GBP 1,500 – GBP 2,500","GBP 4,000",(19 x 28.2 cm.),11 Jul 2013,"2013 | LIVE AUCTION 1124
MODERN BRITISH ART DAY SALE"
PHOEBE UNWIN ,0,0,Seen,2014,"GBP 1,000 - GBP 2,000","GBP 1,750",(183 x 153cm.),30 Mar 2021,"18 Mar - 30 Mar 2021 | Online Auction 19113
First Open: Post-War & Contemporary Art Online"
Giorgio de Chirico ,1888,1978,i) Il primo a traversarlo fu l'Ippogrifo quando portò Ruggero... ii) ... Ma quasi in grembo a Ruggero,0,"GBP 12,000 – GBP 18,000","GBP 12,500",(21 x 15.5 cm.),6 Feb 2020,"2020 | LIVE AUCTION 18341
IMPRESSIONIST AND MODERN WORKS ON PAPER"
Emil Nolde ,1867,1956,Porträt eines Mädchens (schwarzes Haar),0,"USD 80,000 – USD 120,000","USD 200,000",(47.1 x 36 cm.),12 Nov 2018,"2018 | LIVE AUCTION 15978
IMPRESSIONIST AND MODERN ART WORKS ON PAPER"
ATTRIBUTED TO PROSPERO FONTANA ,BOLOGNA,1597,"Phaeton receiving the chariot from Apollo (recto); Study of a nude male youth, and a small study of a putto (verso)",0,"GBP 3,000 – GBP 5,000",GBP 750,(31.1 x 21.9 cm),6 Jul 2021,"2021 | LIVE AUCTION 19450
OLD MASTER AND BRITISH DRAWINGS AND WATERCOLOURS INCLUDING A FINE COLLECTION OF OLD MASTER PRINTS"
Alighiero Boetti ,1940,1994,Mappa,1990,"USD 800,000 – USD 1,200,000","USD 2,167,500",(120.5 x 224.8 cm.),15 Nov 2016,"2016 | LIVE AUCTION 12156
POST-WAR & CONTEMPORARY ART EVENING SALE"
Alberto Giacometti ,1901,1966,Portrait de Soshana,1958,"GBP 20,000 – GBP 30,000","GBP 37,500",(51.2 x 32.8 cm.),23 Jun 2016,"2016 | LIVE AUCTION 11793
IMPRESSIONIST & MODERN ART WORKS ON PAPER"
WILLIAM-ADOLPHE BOUGUEREAU ,La,ADOLPHE,"A young woman in Breton costume, kneeling",0,"USD 4,000 - USD 5,000","USD 5,000",(32 x 25 cm),28 Jan 2021,"14 Jan - 28 Jan 2021 | Online Auction 19290
Old Master & British Drawings including property from The Cornelia Bessie Estate"
"J. CHILD, CIRCA 1810",1759,1806,"Bust of William Pitt the Younger (1759-1806), en brunaille",0,"GBP 1,000 - GBP 1,500",GBP 625,(73.2 x 66 cm.),21 Sep 2021,"1 Sep - 21 Sep 2021 | Online Auction 20209
Jasper Conran: The Collection Part II"
ALBRECHT DÜRER ,1471,1528,"The Visitation, from: The Life of the Virgin",0,"GBP 1,200 - GBP 1,800","GBP 2,750",0,6 Dec 2018,"28 Nov - 6 Dec 2018 | Online Auction 16534
Old Master Works on Paper: Prints and Drawings for under £5,000"
Wifredo Lam ,1902,1982,Untitled (Personnages),1958,"USD 25,000 – USD 30,000","USD 43,750",(58.4 x 90 cm.),21 Nov 2019,"2019 | LIVE AUCTION 17663
LATIN AMERICAN ART"
HOWARD HODGKIN ,1932,2016,"As you'd been wont - Wantonly Wantonly Eros Past, from: The Way We Live Now",0,"GBP 1,000 - GBP 1,500","GBP 1,250",0,26 Sep 2018,"14 Sep - 26 Sep 2018 | Online Auction 16533
Contemporary Edition"
Andy Warhol ,1928,1987,Flowers,1964,"USD 6,000,000 – USD 9,000,000","USD 8,411,750",(60.9 x 60.9 cm.),15 May 2013,"2013 | LIVE AUCTION 2785
POST-WAR & CONTEMPORARY EVENING SALE"
Georges Braque ,1882,1963,L'aquarium bleu,1960,"USD 300,000 – USD 400,000","USD 725,000",(76.5 x 106.4 cm.),15 May 2015,"2015 | LIVE AUCTION 3738
IMPRESSIONIST AND MODERN DAY SALE INCLUDING PROPERTY FROM THE JOHN C. WHITEHEAD COLLECTION"
Juan Gris ,1887,1927,La Conferencia,1908,"USD 40,000 – USD 60,000","USD 336,500",(45 x 31.5 cm.),10 May 2018,"2018 | LIVE AUCTION 16721
THE COLLECTION OF PEGGY AND DAVID ROCKEFELLER: FINE ART, DAY SALE"
GARRY WINOGRAND ,1928,eight,"World’s Fair, New York City, from Women Are Beautiful, 1964",0,"USD 8,000 - USD 12,000","USD 16,250",(22.5 x 33.3 cm.),25 Jan 2018,"16 Jan - 25 Jan 2018 | Online Auction 16650
MoMA: Garry Winogrand"
Henry Moore ,1898,1986,Apple Orchard in Winter,1977,"USD 15,000 – USD 20,000","USD 32,500",(21.9 x 28.2 cm.),13 May 2016,"2016 | LIVE AUCTION 12070
IMPRESSIONIST & MODERN ART WORKS ON PAPER"
Paul Delvaux ,1897,1994,Les Trois femmes,1967,"EUR 15,000 – EUR 20,000","EUR 15,000",0,28 Mar 2019,"2019 | LIVE AUCTION 16949
OEUVRES MODERNES SUR PAPIER, INCLUANT DES OEUVRES DE LA COLLECTION JEAN BONNA"
A FRENCH ORMOLU AND SEVRES STYLE TURQUOISE-GROUND PORCELAIN THREE-PIECE CLOCK GARNITURE,73,GROUND,LATE 19TH CENTURY,0,"USD 12,000 – USD 18,000","USD 11,875",0,21 Oct 2015,"2015 | LIVE AUCTION 3775
THE OPULENT EYE - 19TH CENTURY FURNITURE, SCULPTURE, WORKS OF ART, CERAMICS & CARPETS"
Christo ,1935,2020,"The Pont Neuf, Wrapped (Project for Paris)",1985,"EUR 80,000 – EUR 120,000","EUR 175,000",(i),3 Jun 2021,"2021 | LIVE AUCTION 19841
POST WAR & CONTEMPORARY ART"
CORNELIS GERRITSZ. DECKER ,HAARLEM,1678,A landscape with a farmhouse by a stream,0,"GBP 10,000 - GBP 15,000","GBP 12,500",(72.3 x 82.5 cm.),9 Jul 2021,"18 Jun - 9 Jul 2021 | Online Auction 20054
Old Master Paintings & Sculpture Online"
L.H. SCHOLLENBERGER ,0,0,"Santa Fe Trail, entering into mountains near Albuquerque, New Mexico, 1880",0,"USD 2,000 – USD 3,000","USD 2,250",(19.8 x 12.2 cm.),2 Oct 2019,"2019 | LIVE AUCTION 17600
PHOTOGRAPHS"
James Ensor,0,0,"Peste dessous, Peste dessus, Peste partout",0,"GBP 4,000 – GBP 6,000","GBP 4,375",0,15 Mar 2016,"2016 | LIVE AUCTION 11964
PRINTS & MULTIPLES"
Attributed to Joos van Craesbeeck ,Neerlinter,1660,"A man in a feathered hat and weathered clothes, reading a letter",0,"EUR 3,000 – EUR 5,000","EUR 4,375",0,24 Jun 2015,"2015 | LIVE AUCTION 3055
OLD MASTERS & 19TH CENTURY ART - (INCLUDING DUTCH IMPRESSIONISM)"
Bonaventura Peeters ,Antwerp,1652,"A Rowing Vessel approaching a Zeeland States Yacht firing a salute, in choppy sees off Vlissingen, with other shipping beyond",0,"USD 30,000 – USD 50,000","USD 56,250",(55.3 x 71.7 cm.),29 Jan 2015,"2015 | LIVE AUCTION 3709
OLD MASTER PAINTINGS & SCULPTURE PART II"
Sam Francis ,1923,1994,Untitled,1969,"USD 30,000 – USD 40,000","USD 32,500",(104.7 x 74.9 cm.),4 Mar 2016,"2016 | LIVE AUCTION 12121
FIRST OPEN | POST-WAR AND CONTEMPORARY ART"
Richard Caldicott ,1962,0,Untitled #61,1998,"GBP 1,500 - GBP 2,500","GBP 8,125",(127 x 101.6cm.),15 Mar 2019,"8 Mar - 15 Mar 2019 | Online Auction 18172
The George Michael Collection Online Auction"
CALLUM INNES ,0,0,Repetition Red Oxide,2013,"USD 15,000 - USD 20,000","USD 40,000",(159.7 x 155.9 cm.),12 Dec 2018,"6 Dec - 12 Dec 2018 | Online Auction 15882
First Open Online: Post-War and Contemporary Art"
Wolf Kahn ,1927,0,Sauna Hut,1989,"USD 6,000 - USD 8,000","USD 6,250",(56.5 x 75.6 cm.),22 May 2018,"15 May - 22 May 2018 | Online Auction 16470
American Art Online"
Cesar A. Villacrès ,Ecuador,1941,"Mount Chimborazo, Ecuador",0,"GBP 6,000 - GBP 8,000","GBP 6,250",(85.4 x 123.2 cm.),10 Jun 2020,"20 May - 10 Jun 2020 | Online Auction 19588
Out of Office: Art that Transports"
Tony Cragg ,1949,0,Points of View,0,"EUR 80,000 - EUR 120,000","EUR 106,250",0,26 Nov 2020,"10 Nov - 26 Nov 2020 | Online Auction 18281
Post-War & Contemporary Art Online"
Hendrik Willem Mesdag ,1831,1915,Bomschuiten in the surf near the coast of Scheveningen,1870,"EUR 40,000 – EUR 60,000","EUR 49,000",0,5 Jun 2012,"2012 | LIVE AUCTION 3004
IMPRESSIONIST AND MODERN ART"
Léonard Tsuguharu Foujita ,1886,1968,Portrait présumé de Jean Cocteau,1916,"EUR 6,000 – EUR 8,000","EUR 7,500",0,31 Mar 2016,"2016 | LIVE AUCTION 12610
OEUVRES MODERNES SUR PAPIER"
Workshop of Luca Cambiaso ,Moneglia,1585,Christ taken prisoner,0,"GBP 2,000 – GBP 3,000","GBP 2,000",(22.4 x 30.9 cm),8 Dec 2020,"2020 | LIVE AUCTION 18953
ITALIAN DRAWINGS FROM THE ROBERT LANDOLT COLLECTION"
COADE MANUFACTORY. 1792,0,0,Bacchanalian scene,0,"GBP 5,000 - GBP 8,000","GBP 18,750",(60.7 x 24.7 cm.),30 Jul 2020,"9 Jul - 30 Jul 2020 | Online Auction 18875
Old Masters Paintings & Sculpture"
SANYU ,CHANG,1966,Nude,0,"HKD 80,000 - HKD 160,000","HKD 475,000",(16 3/4 x 10 3/8 in.),14 Jul 2020,"30 Jun - 14 Jul 2020 | Online Auction 19573
Modern & Contemporary Art Online: Come Fly with Me"
LUCIO FONTANA ,1899,1968,"Concetto spaziale, Natura",0,"EUR 50,000 – EUR 70,000","EUR 121,500",(10 5/8 x 8 5/8 x 9 7/8 in.),5 Jun 2013,"2013 | LIVE AUCTION 3576
ART CONTEMPORAIN"
Jeffrey Steele ,1931,0,Lolovo,1964,"GBP 8,000 – GBP 12,000","GBP 14,375",(30.5 x 40.7 cm.),20 Nov 2018,"2018 | LIVE AUCTION 15482
MODERN BRITISH ART DAY SALE"
"SWITZERLAND, EARLY 15TH CENTURY AND LATER",7,metal,Casket with Scene of Tristan and Isolde,0,"GBP 1,000 - GBP 1,500","GBP 16,250",(7.2 x 13 x 8.5 cm.),9 Jul 2021,"18 Jun - 9 Jul 2021 | Online Auction 20054
Old Master Paintings & Sculpture Online"
ANISH KAPOOR ,0,0,Sans titre,0,"EUR 30,000 – EUR 50,000","EUR 80,500",(40 ¾ x 58 ¾ in.),8 Jun 2017,"2017 | LIVE AUCTION 13735
ART CONTEMPORAIN VENTE DU JOUR"
Beauford Delaney ,1901,1979,Abstraction No. 4,0,"USD 100,000 – USD 150,000","USD 387,000",(129.5 x 96.8 cm.),28 Feb 2019,"2019 | LIVE AUCTION 17164
POST-WAR TO PRESENT"
Henry Moore ,1898,1986,Seated Figures (recto and verso),1950,"USD 50,000 – USD 70,000","USD 75,000",(29 x 23.6 cm.),14 Nov 2017,"2017 | LIVE AUCTION 15005
IMPRESSIONIST AND MODERN ART WORKS ON PAPER SALE"
NEUF ASSIETTES EN PORCELAINE DE LA FAMILLE ROSE ET QUATRE-VINGT-TROIS ASSIETTES EN PORCELAINE BLEU BLANC,9,VINGT,"CHINE, DYNASTIE QING, XVIIIEME SIECLE",0,"EUR 2,500 – EUR 3,500","EUR 7,500",0,27 Sep 2012,"2012 | LIVE AUCTION 3538
COLLECTION HÉLÈNE ROCHAS"
DAVID HOCKNEY ,0,0,Study for Floor and Teapot,1980,"GBP 40,000 – GBP 60,000","GBP 87,500",(48.2 x 61cm.),16 Oct 2021,"2021 | LIVE AUCTION 20072
POST-WAR AND CONTEMPORARY ART DAY SALE"
Diego Rivera ,1886,1957,Niña con flores amarillas,1950,"USD 60,000 – USD 80,000","USD 106,250",(38.7 x 27.9 cm.),21 Nov 2018,"2018 | LIVE AUCTION 15581
LATIN AMERICAN ART"
STUDIO OF JAMES SEYMOUR ,LONDON,1752,"The Duke of Devonshire's racehorse Flying Childers, held by a groom at Newmarket Heath",0,"GBP 7,000 - GBP 10,000","GBP 5,625",(101.4 x 127.3 cm.),9 Jul 2021,"18 Jun - 9 Jul 2021 | Online Auction 20054
Old Master Paintings & Sculpture Online"
A GEORGE IV GILTWOOD SIDE TABLE,62,veneered,"PROBABLY IRISH, THE TABLE CIRCA 1825, THE TOP ROMAN, LATE 18TH CENTURY",0,"USD 30,000 – USD 50,000","USD 27,500",0,22 Oct 2013,"2013 | LIVE AUCTION 2775
MICHAEL TAYLOR AND THE ALCHEMY OF DESIGN: THE DIANA DOLLAR KNOWLES COLLECTION"
Albert Lebourg ,1849,1928,La Mère et l'enfant sur un banc,0,"EUR 2,000 – EUR 3,000","EUR 5,000",0,18 Oct 2019,"2019 | LIVE AUCTION 17692
ART MODERNE"
YAYOI KUSAMA ,0,0,DANDELIONS,1985,"CNY 50,000 – CNY 100,000","CNY 96,000",(17 3/4 x 20 5/8 in.),21 Sep 2018,"2018 | LIVE AUCTION 16305
FIRST OPEN | SHANGHAI"
YVES SAINT LAURENT ,1936,2008,Untitled,0,"GBP 3,000 - GBP 4,000","GBP 60,000",(27.1 x 21.4cm.),19 Oct 2021,"5 Oct - 19 Oct 2021 | Online Auction 19842
First Open: Post-War & Contemporary Art Online"
Francisco Zúñiga ,1912,1998,Coloquio,1979,"USD 150,000 – USD 200,000","USD 150,000",(119.4 x 182.9 x 97.2 cm.),13 Nov 2020,"2020 | LIVE AUCTION 18185
LATIN AMERICAN ART"
Hendrick Bloemaert ,Utrecht,1672,Saint Paul,0,"GBP 8,000 – GBP 12,000","GBP 7,000",(114.3 x 97.8 cm.),6 Jul 2018,"2018 | LIVE AUCTION 15495
OLD MASTERS DAY SALE"
William James Webbe ,fl,1878,Chanticleer and the fox,0,"GBP 30,000 – GBP 50,000","GBP 47,500",(92 x 92 cm.),12 Dec 2019,"2019 | LIVE AUCTION 17294
BRITISH ART: VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
